,gvkey,conm,tic,sich,fyear,at,act,dlc,dltt,sale,ni,prcc_f,csho
0,001075,PINNACLE WEST CAPITAL CORP,PNW,4911,2010,12362.703,931.93,648.479,3045.794,3263.645,350.053,41.45,108.77
1,001075,PINNACLE WEST CAPITAL CORP,PNW,4911,2011,13111.018,956.47,477.435,3019.054,3241.379,339.473,48.18,109.246
2,001075,PINNACLE WEST CAPITAL CORP,PNW,4911,2012,13379.615,1005.726,215.003,3199.088,3301.804,381.542,50.98,109.743
3,001075,PINNACLE WEST CAPITAL CORP,PNW,4911,2013,13508.686,1043.609,693.549,2796.465,3454.628,406.074,52.92,110.182
4,001075,PINNACLE WEST CAPITAL CORP,PNW,4911,2014,14313.532,973.435,530.97,3031.215,3491.632,397.595,68.31,110.571
5,001075,PINNACLE WEST CAPITAL CORP,PNW,4911,2015,15028.258,890.516,357.58,3462.391,3495.443,437.257,64.48,110.98
6,001075,PINNACLE WEST CAPITAL CORP,PNW,4911,2016,16004.253,822.219,302.2,4021.785,3498.682,442.034,78.03,111.337
7,001075,PINNACLE WEST CAPITAL CORP,PNW,4911,2017,17019.082,1016.288,177.4,4789.713,3565.296,488.456,85.18,111.752
8,001075,PINNACLE WEST CAPITAL CORP,PNW,4911,2018,17664.202,924.991,576.4,4638.232,3691.247,511.047,85.2,112.102
9,001075,PINNACLE WEST CAPITAL CORP,PNW,4911,2019,18479.247,1030.03,927.388,4884.43,3471.209,538.32,89.93,112.436
10,001075,PINNACLE WEST CAPITAL CORP,PNW,4911,2020,20020.421,1198.319,243.785,6675.602,3586.982,550.559,79.95,112.688
11,001075,PINNACLE WEST CAPITAL CORP,PNW,4911,2021,22003.222,1551.1,542.443,7642.136,3803.835,618.72,70.59,112.927
12,001075,PINNACLE WEST CAPITAL CORP,PNW,4911,2022,22723.405,1750.554,496.615,8380.533,4324.385,483.602,76.04,113.173
13,001075,PINNACLE WEST CAPITAL CORP,PNW,4911,2023,24661.153,1926.967,1552.383,8750.811,4695.991,501.557,71.84,113.425
14,001075,PINNACLE WEST CAPITAL CORP,PNW,4911,2024,26102.76,1689.404,1468.817,9579.525,5124.915,608.806,84.77,119.097
15,001075,PINNACLE WEST CAPITAL CORP,PNW,4911,2025,30031.599,1703.709,1545.591,12754.041,5339.939,616.531,88.7,120.904
16,001078,ABBOTT LABORATORIES,ABT,2834,2010,59462.266,22317.529,6394.766,12523.517,35166.721,4626.172,47.91,1546.984
17,001078,ABBOTT LABORATORIES,ABT,2834,2011,60276.893,23768.774,3374.755,12039.822,38851.259,4728.449,56.23,1570.379
18,001078,ABBOTT LABORATORIES,ABT,2834,2012,67234.944,31322.583,2390.662,18085.302,39873.91,5962.92,65.5,1576.667
19,001078,ABBOTT LABORATORIES,ABT,2834,2013,42953.0,19247.0,3173.0,3388.0,21848.0,2576.0,38.33,1548.098
20,001078,ABBOTT LABORATORIES,ABT,2834,2014,41275.0,15261.0,4437.0,3408.0,20247.0,2284.0,45.02,1508.035
21,001078,ABBOTT LABORATORIES,ABT,2834,2015,41247.0,14155.0,3130.0,5871.0,20405.0,4423.0,44.91,1472.665
22,001078,ABBOTT LABORATORIES,ABT,2834,2016,52666.0,26776.0,1325.0,20681.0,20853.0,1400.0,38.41,1472.869
23,001078,ABBOTT LABORATORIES,ABT,2834,2017,76250.0,20147.0,714.0,27210.0,27390.0,477.0,57.07,1743.602
24,001078,ABBOTT LABORATORIES,ABT,2834,2018,67173.0,14632.0,207.0,19359.0,30578.0,2368.0,72.33,1755.619
25,001078,ABBOTT LABORATORIES,ABT,3845,2019,67887.0,15667.0,1683.0,17416.0,31904.0,3687.0,86.86,1762.503
26,001078,ABBOTT LABORATORIES,ABT,3845,2020,72548.0,20441.0,461.0,19429.0,34608.0,4495.0,109.49,1771.23
27,001078,ABBOTT LABORATORIES,ABT,3845,2021,75196.0,24239.0,999.0,18252.0,43075.0,7071.0,140.74,1764.082
28,001078,ABBOTT LABORATORIES,ABT,3845,2022,74438.0,25224.0,2481.0,15465.0,43653.0,6933.0,109.79,1737.795
29,001078,ABBOTT LABORATORIES,ABT,3845,2023,73214.0,22670.0,1325.0,14548.0,40109.0,5723.0,110.07,1734.076
30,001078,ABBOTT LABORATORIES,ABT,3845,2024,81414.0,23656.0,1754.0,13521.0,41950.0,13402.0,113.11,1731.698
31,001078,ABBOTT LABORATORIES,ABT,3845,2025,86713.0,25996.0,3309.0,10827.0,44328.0,6524.0,125.29,1736.599
32,001161,ADVANCED MICRO DEVICES,AMD,3674,2010,4964.0,3594.0,233.0,2188.0,6494.0,471.0,8.18,683.0
33,001161,ADVANCED MICRO DEVICES,AMD,3674,2011,4954.0,3229.0,489.0,1527.0,6568.0,491.0,5.4,698.0
34,001161,ADVANCED MICRO DEVICES,AMD,3674,2012,4000.0,2265.0,5.0,2037.0,5422.0,-1183.0,2.4,713.0
35,001161,ADVANCED MICRO DEVICES,AMD,3674,2013,4337.0,2884.0,60.0,1998.0,5299.0,-83.0,3.87,725.0
36,001161,ADVANCED MICRO DEVICES,AMD,3674,2014,3767.0,2736.0,177.0,2035.0,5506.0,-403.0,2.67,776.0
37,001161,ADVANCED MICRO DEVICES,AMD,3674,2015,3109.0,2320.0,230.0,2032.0,3991.0,-660.0,2.87,792.0
38,001161,ADVANCED MICRO DEVICES,AMD,3674,2016,3321.0,2530.0,0.0,1435.0,4272.0,-497.0,11.34,935.0
39,001161,ADVANCED MICRO DEVICES,AMD,3674,2017,3540.0,2622.0,70.0,1325.0,5329.0,43.0,10.28,967.0
40,001161,ADVANCED MICRO DEVICES,AMD,3674,2018,4556.0,3540.0,136.0,1114.0,6475.0,337.0,18.46,1005.0
41,001161,ADVANCED MICRO DEVICES,AMD,3674,2019,6028.0,4597.0,43.0,685.0,6731.0,341.0,45.86,1170.0
42,001161,ADVANCED MICRO DEVICES,AMD,3674,2020,8962.0,6143.0,41.0,531.0,9763.0,2490.0,91.71,1211.0
43,001161,ADVANCED MICRO DEVICES,AMD,3674,2021,12419.0,8583.0,383.0,349.0,16434.0,3162.0,143.9,1207.0
44,001161,ADVANCED MICRO DEVICES,AMD,3674,2022,67580.0,15019.0,93.0,2863.0,23601.0,1320.0,64.77,1612.0
45,001161,ADVANCED MICRO DEVICES,AMD,3674,2023,67885.0,16768.0,857.0,2252.0,22680.0,854.0,147.41,1616.0
46,001161,ADVANCED MICRO DEVICES,AMD,3674,2024,69226.0,19049.0,109.0,2212.0,25785.0,1641.0,120.79,1622.0
47,001161,ADVANCED MICRO DEVICES,AMD,3674,2025,76926.0,26947.0,1033.0,2973.0,34639.0,4335.0,214.16,1630.0
48,001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,2010,13505.9,3033.8,468.5,3659.8,9026.0,1029.1,82.82,213.803
49,001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,2011,14290.7,3189.8,634.7,3927.5,10082.0,1224.2,76.37,210.185
50,001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,2012,16941.8,3415.8,707.7,4584.2,9611.7,1167.3,82.7,212.476
51,001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,2013,17850.1,3439.1,1217.3,5056.3,10180.4,994.2,106.57,211.179
52,001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,2014,17779.1,3294.8,1294.0,4824.5,10439.0,991.7,130.18,213.539
53,001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,2015,17438.1,2910.8,1929.9,3949.1,9894.9,1277.9,127.58,215.359
54,001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,2016,18055.3,4317.3,1307.1,4918.1,9524.4,631.1,150.34,217.351
55,001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,2017,18467.2,5876.7,560.4,3402.4,8187.6,3000.4,151.22,218.346
56,001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,2018,19178.3,5082.2,460.9,3351.7,8930.2,1497.8,167.05,219.516
57,001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,2019,18942.8,4618.3,98.6,3227.4,8918.9,1760.0,221.86,220.415
58,001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,2020,25168.5,8684.9,548.4,7765.9,8856.3,1886.7,297.86,221.017
59,001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,2021,26859.2,8376.3,565.5,7653.7,10323.0,2099.1,256.11,221.397
60,001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,2022,27192.6,6282.9,649.0,7677.9,12698.6,2256.1,232.73,221.839
61,001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,2023,32002.5,5200.5,969.2,10062.4,12600.0,2300.2,283.4,222.2
62,001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,2024,39574.6,6363.0,795.2,14210.9,12100.6,3828.2,297.74,222.372
63,001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,2025,41059.5,5825.8,842.8,17563.4,12037.3,-394.5,272.72,222.588
64,001300,HONEYWELL INTERNATIONAL INC,HON,3728,2010,37834.0,15011.0,889.0,5755.0,33370.0,2022.0,53.16,783.0
65,001300,HONEYWELL INTERNATIONAL INC,HON,3822,2011,39808.0,16134.0,674.0,6881.0,36529.0,2067.0,54.35,774.7
66,001300,HONEYWELL INTERNATIONAL INC,HON,3822,2012,41853.0,17598.0,1101.0,6395.0,37665.0,2926.0,63.47,782.8
67,001300,HONEYWELL INTERNATIONAL INC,HON,3822,2013,45435.0,21164.0,2028.0,6801.0,39055.0,3924.0,91.37,783.8
68,001300,HONEYWELL INTERNATIONAL INC,HON,3822,2014,45451.0,22191.0,2637.0,6046.0,40306.0,4239.0,99.92,782.2
69,001300,HONEYWELL INTERNATIONAL INC,HON,3822,2015,49316.0,20053.0,6514.0,5554.0,38581.0,4768.0,103.57,770.4
70,001300,HONEYWELL INTERNATIONAL INC,HON,9997,2016,54146.0,23058.0,3593.0,12182.0,39302.0,4809.0,115.85,760.8
71,001300,HONEYWELL INTERNATIONAL INC,HON,9997,2017,59387.0,26002.0,5309.0,12573.0,40534.0,1655.0,153.36,750.9
72,001300,HONEYWELL INTERNATIONAL INC,HON,9997,2018,57773.0,24362.0,6458.0,9756.0,41802.0,6765.0,132.12,729.6
73,001300,HONEYWELL INTERNATIONAL INC,HON,9997,2019,58679.0,24303.0,5063.0,11644.0,36709.0,6143.0,177.0,711.1
74,001300,HONEYWELL INTERNATIONAL INC,HON,9997,2020,64586.0,28175.0,6229.0,16983.0,32637.0,4779.0,212.7,696.8
75,001300,HONEYWELL INTERNATIONAL INC,HON,9997,2021,64470.0,25372.0,5530.0,15101.0,34392.0,5542.0,208.51,684.8
76,001300,HONEYWELL INTERNATIONAL INC,HON,9997,2022,62275.0,24982.0,4639.0,15898.0,35466.0,4966.0,214.3,667.6
77,001300,HONEYWELL INTERNATIONAL INC,HON,9997,2023,61525.0,23502.0,4077.0,17459.0,36662.0,5658.0,209.71,651.8
